"(Vol Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,363.0,364.0,367.0,355.0,434.0,477.0
mean,4.679796119038396,5.544642857142857,5.114441416893733,2.588039516395246,3.430299539170507,8.815010502653301
std,2.5425555091544036,2.8282260175829053,2.8941095540130615,1.844153851419262,2.454236597656105,4.966745272092355
min,1.5,1.0,1.0,0.5,1.0,1.25
5%,2.25,2.25,2.0,1.0,1.5,2.25
25%,3.25,3.5,3.25,1.5,2.0,5.25
50%,4.0,5.0,4.25,2.0,2.75,8.0
68%,4.75,6.0,5.5,2.5,3.5,10.25
90%,7.25,9.0,8.75,4.400000000000006,5.5,15.5
95%,9.5,10.962499999999991,10.674999999999997,7.325000000000003,8.837499999999991,17.75
99%,13.319999999999993,14.935000000000002,12.834999999999994,10.114999999999995,12.585000000000008,24.860000000000014
99.7%,20.284999999999968,17.47775,15.77949999999997,10.984499999999997,19.556500000000142,30.180000000000007
max,21.75,19.75,30.0,11.5,23.25,31.75
